API,Description,Example,,
"
mxnet.symbol.contrib.CTCLoss(data=None, label=None, data_lengths=None, label_lengths=None, use_data_lengths=_Null, use_label_lengths=_Null, blank_label=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Connectionist Temporal Classification Loss.', '\n', '\n', 'Note', '\n', 'The existing alias ', '\n', '\n', 'The shapes of the inputs and outputs:', '\n', '\n', 'data', '\n', 'label', '\n', 'out', '\n', '\n', 'The ', 'data', ' tensor consists of sequences of activation vectors (without applying softmax),\nwith i-th channel in the last dimension corresponding to i-th label\nfor i between 0 and alphabet_size-1 (i.e always 0-indexed).\nAlphabet size should include one additional value reserved for blank label.\nWhen ', 'blank_label', ' is ', '""first""', ', the ', '0', '-th channel is be reserved for\nactivation of blank label, or otherwise if it is â\x80\x9clastâ\x80\x9d, ', '(alphabet_size-1)', '-th channel should be\nreserved for blank label.', '\n', 'label', ' is an index matrix of integers. When ', 'blank_label', ' is ', '""first""', ',\nthe value 0 is then reserved for blank label, and should not be passed in this matrix. Otherwise,\nwhen ', 'blank_label', ' is ', '""last""', ', the value ', '(alphabet_size-1)', ' is reserved for blank label.', '\n', 'If a sequence of labels is shorter than ', 'label_sequence_length', ', use the special\npadding value at the end of the sequence to conform it to the correct\nlength. The padding value is ', '0', ' when ', 'blank_label', ' is ', '""first""', ', and ', '-1', ' otherwise.', '\n', 'For example, suppose the vocabulary is ', '[a, b, c]', ', and in one batch we have three sequences\nâ\x80\x98baâ\x80\x99, â\x80\x98cbbâ\x80\x99, and â\x80\x98abacâ\x80\x99. When ', 'blank_label', ' is ', '""first""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 1, â\x80\x98bâ\x80\x99: 2, â\x80\x98câ\x80\x99: 3}', ', and we reserve the 0-th channel for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'When ', 'blank_label', ' is ', '""last""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 0, â\x80\x98bâ\x80\x99: 1, â\x80\x98câ\x80\x99: 2}', ', and we reserve the channel index 3 for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'out', ' is a list of CTC loss values, one per example in the batch.', '\n', 'See ', 'Connectionist Temporal Classification: Labelling Unsegmented\nSequence Data with Recurrent Neural Networks', ', A. Graves ', 'et al', '. for more\ninformation on the definition and the algorithm.', '\n', 'Defined in src/operator/nn/ctc_loss.cc:L100', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.DeformableConvolution(data=None, offset=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, num_deformable_group=_Null, workspace=_Null, no_bias=_Null, layout=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Compute 2-D deformable convolution on 4-D input.', '\n', 'The deformable convolution operation is described in ', 'https://arxiv.org/abs/1703.06211', '\n', 'For 2-D deformable convolution, the shapes are', '\n', '\n', 'data', '\n', 'offset', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'Define:', '\n', None, '\n', '\n', 'then we have:', '\n', None, '\n', '\n', 'If ', 'no_bias', ' is set to be true, then the ', 'bias', ' term is ignored.', '\n', 'The default data ', 'layout', ' is ', 'NCHW', ', namely ', '(batch_size, channle, height,\nwidth)', '.', '\n', 'If ', 'num_group', ' is larger than 1, denoted by ', 'g', ', then split the input ', 'data', '\nevenly into ', 'g', ' parts along the channel axis, and also evenly split ', 'weight', '\nalong the first dimension. Next compute the convolution on the ', 'i', '-th part of\nthe data with the ', 'i', '-th weight part. The output is obtained by concating all\nthe ', 'g', ' results.', '\n', 'If ', 'num_deformable_group', ' is larger than 1, denoted by ', 'dg', ', then split the\ninput ', 'offset', ' evenly into ', 'dg', ' parts along the channel axis, and also evenly\nsplit ', 'data', ' into ', 'dg', ' parts along the channel axis. Next compute the\ndeformable convolution, apply the ', 'i', '-th part of the offset on the ', 'i', '-th part\nof the data.', '\n', 'Both ', 'weight', ' and ', 'bias', ' are learnable parameters.', '\n', 'Defined in src/operator/contrib/deformable_convolution.cc:L83', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.DeformablePSROIPooling(data=None, rois=None, trans=None, spatial_scale=_Null, output_dim=_Null, group_size=_Null, pooled_size=_Null, part_size=_Null, sample_per_part=_Null, trans_std=_Null, no_trans=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Performs deformable position-sensitive region-of-interest pooling on inputs.\nThe DeformablePSROIPooling operation is described in ', 'https://arxiv.org/abs/1703.06211', ' .batch_size will change to the number of region bounding boxes after DeformablePSROIPooling', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.ModulatedDeformableConvolution(data=None, offset=None, mask=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, num_deformable_group=_Null, workspace=_Null, no_bias=_Null, im2col_step=_Null, layout=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Compute 2-D modulated deformable convolution on 4-D input.', '\n', 'The modulated deformable convolution operation is described in ', 'https://arxiv.org/abs/1811.11168', '\n', 'For 2-D modulated deformable convolution, the shapes are', '\n', '\n', 'data', '\n', 'offset', '\n', 'mask', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'Define:', '\n', None, '\n', '\n', 'then we have:', '\n', None, '\n', '\n', 'If ', 'no_bias', ' is set to be true, then the ', 'bias', ' term is ignored.', '\n', 'The default data ', 'layout', ' is ', 'NCHW', ', namely ', '(batch_size, channle, height,\nwidth)', '.', '\n', 'If ', 'num_group', ' is larger than 1, denoted by ', 'g', ', then split the input ', 'data', '\nevenly into ', 'g', ' parts along the channel axis, and also evenly split ', 'weight', '\nalong the first dimension. Next compute the convolution on the ', 'i', '-th part of\nthe data with the ', 'i', '-th weight part. The output is obtained by concating all\nthe ', 'g', ' results.', '\n', 'If ', 'num_deformable_group', ' is larger than 1, denoted by ', 'dg', ', then split the\ninput ', 'offset', ' evenly into ', 'dg', ' parts along the channel axis, and also evenly\nsplit ', 'out', ' evenly into ', 'dg', ' parts along the channel axis. Next compute the\ndeformable convolution, apply the ', 'i', '-th part of the offset part on the ', 'i', '-th\nout.', '\n', 'Both ', 'weight', ' and ', 'bias', ' are learnable parameters.', '\n', 'Defined in src/operator/contrib/modulated_deformable_convolution.cc:L83', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.MultiBoxDetection(cls_prob=None, loc_pred=None, anchor=None, clip=_Null, threshold=_Null, background_id=_Null, nms_threshold=_Null, force_suppress=_Null, variances=_Null, nms_topk=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Convert multibox detection predictions.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.MultiBoxPrior(data=None, sizes=_Null, ratios=_Null, clip=_Null, steps=_Null, offsets=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Generate prior(anchor) boxes from data, sizes and ratios.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.MultiBoxTarget(anchor=None, label=None, cls_pred=None, overlap_threshold=_Null, ignore_label=_Null, negative_mining_ratio=_Null, negative_mining_thresh=_Null, minimum_negative_samples=_Null, variances=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Compute Multibox training targets', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.MultiProposal(cls_prob=None, bbox_pred=None, im_info=None, rpn_pre_nms_top_n=_Null, rpn_post_nms_top_n=_Null, threshold=_Null, rpn_min_size=_Null, scales=_Null, ratios=_Null, feature_stride=_Null, output_score=_Null, iou_loss=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Generate region proposals via RPN', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.PSROIPooling(data=None, rois=None, spatial_scale=_Null, output_dim=_Null, pooled_size=_Null, group_size=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Performs region-of-interest pooling on inputs. Resize bounding box coordinates by spatial_scale and crop input feature maps accordingly. The cropped feature maps are pooled by max pooling to a fixed size output indicated by pooled_size. batch_size will change to the number of region bounding boxes after PSROIPooling', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.Proposal(cls_prob=None, bbox_pred=None, im_info=None, rpn_pre_nms_top_n=_Null, rpn_post_nms_top_n=_Null, threshold=_Null, rpn_min_size=_Null, scales=_Null, ratios=_Null, feature_stride=_Null, output_score=_Null, iou_loss=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Generate region proposals via RPN', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.ROIAlign(data=None, rois=None, pooled_size=_Null, spatial_scale=_Null, sample_ratio=_Null, position_sensitive=_Null, aligned=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['This operator takes a 4D feature map as an input array and region proposals as ', 'rois', ',\nthen align the feature map over sub-regions of input and produces a fixed-sized output array.\nThis operator is typically used in Faster R-CNN & Mask R-CNN networks. If roi batchid is less\nthan 0, it will be ignored, and the corresponding output will be set to 0.', '\n', 'Different from ROI pooling, ROI Align removes the harsh quantization, properly aligning\nthe extracted features with the input. RoIAlign computes the value of each sampling point\nby bilinear interpolation from the nearby grid points on the feature map. No quantization is\nperformed on any coordinates involved in the RoI, its bins, or the sampling points.\nBilinear interpolation is used to compute the exact values of the\ninput features at four regularly sampled locations in each RoI bin.\nThen the feature map can be aggregated by avgpooling.', '\n', 'References', '\n', 'He, Kaiming, et al. â\x80\x9cMask R-CNN.â\x80\x9d ICCV, 2017', '\n', 'Defined in src/operator/contrib/roi_align.cc:L558', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.RROIAlign(data=None, rois=None, pooled_size=_Null, spatial_scale=_Null, sampling_ratio=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Performs Rotated ROI Align on the input array.', '\n', 'This operator takes a 4D feature map as an input array and region proposals as ', 'rois', ',\nthen align the feature map over sub-regions of input and produces a fixed-sized output array.', '\n', 'Different from ROI Align, RROI Align uses rotated rois, which is suitable for text detection.\nRRoIAlign computes the value of each sampling point by bilinear interpolation from the nearby\ngrid points on the rotated feature map. No quantization is performed on any coordinates\ninvolved in the RoI, its bins, or the sampling points. Bilinear interpolation is used to\ncompute the exact values of the input features at four regularly sampled locations in\neach RoI bin. Then the feature map can be aggregated by avgpooling.', '\n', 'References', '\n', 'Ma, Jianqi, et al. â\x80\x9cArbitrary-Oriented Scene Text Detection via Rotation Proposals.â\x80\x9d\nIEEE Transactions on Multimedia, 2018.', '\n', 'Defined in src/operator/contrib/rroi_align.cc:L273', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.SparseEmbedding(data=None, weight=None, input_dim=_Null, output_dim=_Null, dtype=_Null, sparse_grad=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Maps integer indices to vector representations (embeddings).', '\n', 'note:: ', 'contrib.SparseEmbedding', ' is deprecated, use ', 'Embedding', ' instead.', '\n', 'This operator maps words to real-valued vectors in a high-dimensional space,\ncalled word embeddings. These embeddings can capture semantic and syntactic properties of the words.\nFor example, it has been noted that in the learned embedding spaces, similar words tend\nto be close to each other and dissimilar words far apart.', '\n', 'For an input array of shape (d1, â\x80¦, dK),\nthe shape of an output array is (d1, â\x80¦, dK, output_dim).\nAll the input values should be integers in the range [0, input_dim).', '\n', 'If the input_dim is ip0 and output_dim is op0, then shape of the embedding weight matrix must be\n(ip0, op0).', '\n', 'The storage type of the gradient will be ', 'row_sparse', '.', '\n', '\n', 'Note', '\n', 'SparseEmbedding', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/indexing_op.cc:L674', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.symbol.contrib.SyncBatchNorm(data=None, gamma=None, beta=None, moving_mean=None, moving_var=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, ndev=_Null, key=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Batch normalization.', '\n', 'Normalizes a data batch by mean and variance, and applies a scale ', 'gamma', ' as\nwell as offset ', 'beta', '.\nStandard BN ', '1', ' implementation only normalize the data within each device.\nSyncBN normalizes the input within the whole mini-batch.\nWe follow the sync-onece implmentation described in the paper ', '2', '.', '\n', 'Assume the input has more than one dimension and we normalize along axis 1.\nWe first compute the mean and variance along this axis:', '\n', '\n\\[\\begin{split}data\\_mean[i] = mean(data[:,i,:,...]) \\\\\ndata\\_var[i] = var(data[:,i,:,...])\\end{split}\\]', '\n', 'Then compute the normalized output, which has the same shape as input, as following:', '\n', '\n\\[out[:,i,:,...] = \\frac{data[:,i,:,...] - data\\_mean[i]}{\\sqrt{data\\_var[i]+\\epsilon}} * gamma[i] + beta[i]\\]', '\n', 'Both ', 'mean', ' and ', 'var', ' returns a scalar by treating the input as a vector.', '\n', 'Assume the input has size ', 'k', ' on axis 1, then both ', 'gamma', ' and ', 'beta', '\nhave shape ', '(k,)', '. If ', 'output_mean_var', ' is set to be true, then outputs both ', 'data_mean', ' and\n', 'data_var', ' as well, which are needed for the backward pass.', '\n', 'Besides the inputs and the outputs, this operator accepts two auxiliary\nstates, ', 'moving_mean', ' and ', 'moving_var', ', which are ', 'k', '-length\nvectors. They are global statistics for the whole dataset, which are updated\nby:', '\n', None, '\n', '\n', 'If ', 'use_global_stats', ' is set to be true, then ', 'moving_mean', ' and\n', 'moving_var', ' are used instead of ', 'data_mean', ' and ', 'data_var', ' to compute\nthe output. It is often used during inference.', '\n', 'Both ', 'gamma', ' and ', 'beta', ' are learnable parameters. But if ', 'fix_gamma', ' is true,\nthen set ', 'gamma', ' to 1 and its gradient to 0.', '\n', '\n', 'Reference:', '\n', '\n', '\n', 'Defined in src/operator/contrib/sync_batch_norm.cc:L96', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
