"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
class mxnet.ndarray.NDArray(handle, writable=True)[source]Â¶","['Bases: ', 'mxnet._ctypes.ndarray.NDArrayBase', '\n', 'An array object representing a multidimensional, homogeneous array of\nfixed-size items.', '\n', 'Attributes', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Returns a copy of the array with axes transposed.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns an array on the target device with the same value as this array.', '\n', '\n', '\n', '\n', 'A convenience function for creating a classic ndarray from the current\nndarray with zero copy. For this class, it just returns itself since it is\nalready a classic ndarray.', '\n', '\n', '\n', '\n', 'Convert mxnet.ndarray.NDArray to mxnet.numpy.ndarray.', '\n', '\n', '\n', '\n', 'Returns a ', '\n', '\n', '\n', '\n', 'Returns a scalar whose value is copied from this array.', '\n', '\n', '\n', '\n', 'Returns a copy of the array after casting to a specified type.', '\n', '\n', '\n', '\n', 'Attach a gradient buffer to this NDArray, so that ', '\n', '\n', '\n', '\n', 'Compute the gradients of this NDArray w.r.t variables.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Broadcasts the input array to the shape of other.', '\n', '\n', '\n', '\n', 'Broadcasts the input array to a new shape.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Device context of the array.', '\n', '\n', '\n', '\n', 'Makes a copy of this ', '\n', '\n', '\n', '\n', 'Copies the value of this array to another array.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Device context of the array. Has the same meaning as context.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns a new NDArray, detached from the current graph.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Data-type of the arrayâ\x80\x99s elements.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Adds an additional dimension to the current array without altering any data.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Flatten this array without altering any data.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns gradient buffer attached to this NDArray.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns the number of dimensions of this array', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns a ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Tuple of array dimensions.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Number of elements in the array.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Assign the rhs to a cropped subset of this NDarray in place.\nReturns the view of this NDArray.', '\n', '\n', '\n', '\n', 'Assign the scalar to a cropped subset of this NDArray. Value will broadcast to the shape of the cropped shape\nand will be cast to the same dtype of the NDArray.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Remove dimensions with size 1 from this array without altering any data.', '\n', '\n', '\n', '\n', 'Storage-type of the array.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Returns a reference view of NDArray that represents as DLManagedTensor until\nall previous write operations on the current array are finished.', '\n', '\n', '\n', '\n', 'Returns a reference view of NDArray that represents as DLManagedTensor until\nall previous read/write operations on the current array are finished.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Return a copy of the array with chosen storage type.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n', '\n', '\n', 'Waits until all previous write operations on the current array are finished.', '\n', '\n', '\n', '\n', 'Convenience fluent method for ', '\n', '\n']"
"
mxnet.ndarray.concatenate(arrays, axis=0, always_copy=True)[source]Â¶","['DEPRECATED, use ', 'concat', ' instead', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'An ', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.ones(shape, ctx=None, dtype=None, **kwargs)[source]Â¶","['Returns a new array filled with all ones, with the given shape and type.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'A new array of the specified shape filled with all ones.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.add(lhs, rhs)[source]Â¶","['Returns element-wise sum of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'lhs', ', ', 'mx.nd.broadcast_add(lhs,', ' and\n', 'mx.nd.broadcast_plus(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise sum of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.arange(start, stop=None, step=1.0, repeat=1, infer_range=None, ctx=None, dtype=<class 'numpy.float32'>)[source]Â¶","['Returns evenly spaced values within a given interval.', '\n', 'Values are generated within the half-open interval [', 'start', ', ', 'stop', '). In other\nwords, the interval includes ', 'start', ' but excludes ', 'stop', '. The function is\nsimilar to the built-in Python function ', 'range', ' and to ', 'numpy.arange', ',\nbut returns an ', 'NDArray', '.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'NDArray', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.linspace(start, stop, num, endpoint=True, ctx=None, dtype=<class 'numpy.float32'>)[source]Â¶","['Return evenly spaced numbers within a specified interval.', '\n', 'Values are generated within the half-open interval [', 'start', ', ', 'stop', ') or\nclosed interval [start, stop] depending on whether ', 'endpoint', ' is True or\nFalse. The function is similar to ', 'numpy.linspace', ', but returns an ', 'NDArray', '.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'NDArray', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.eye(N, M=0, k=0, ctx=None, dtype=None, **kwargs)[source]Â¶","['Return a 2-D array with ones on the diagonal and zeros elsewhere.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'A created array', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.divide(lhs, rhs)[source]Â¶","['Returns element-wise division of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_div(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise division of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.equal(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'equal to', ' (==) comparison operation with\nbroadcasting.', '\n', 'For each element in input arrays, return 1(true) if corresponding elements are same,\notherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_equal(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.full(shape, val, ctx=None, dtype=<class 'numpy.float32'>, out=None)[source]Â¶","['Returns a new array of given shape and type, filled with the given value ', 'val', '.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'NDArray', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.greater(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'greater than', ' (>) comparison operation\nwith broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements are greater than rhs,\notherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_greater(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.greater_equal(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'greater than or equal to', ' (>=) comparison\noperation with broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements are greater than equal to rhs,\notherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_greater_equal(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.imdecode(str_img, clip_rect=(0, 0, 0, 0), out=None, index=0, channels=3, mean=None)[source]Â¶","['DEPRECATED, use mx.img instead', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']"
"
mxnet.ndarray.lesser(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'lesser than', ' (<) comparison operation\nwith broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements are less than rhs,\notherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_lesser(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.lesser_equal(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'lesser than or equal to', ' (<=) comparison\noperation with broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements are\nlesser than equal to rhs, otherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_lesser_equal(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.logical_and(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'logical and', ' comparison\noperation with broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements and rhs elements\nare true, otherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_logical_and(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.logical_or(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'logical or', ' comparison\noperation with broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements or rhs elements\nare true, otherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_logical_or(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.logical_xor(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'logical xor', ' comparison\noperation with broadcasting.', '\n', 'For each element in input arrays, return 1(true) if lhs elements or rhs elements\nare true, otherwise return 0(false).', '\n', 'Equivalent to ', 'bool(lhs)', ' and ', 'mx.nd.broadcast_logical_xor(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.maximum(lhs, rhs)[source]Â¶","['Returns element-wise maximum of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'mx.nd.broadcast_maximum(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise maximum of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.minimum(lhs, rhs)[source]Â¶","['Returns element-wise minimum of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'mx.nd.broadcast_minimum(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise minimum of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.moveaxis(tensor, source, destination)[source]Â¶","['Moves the ', 'source', ' axis into the ', 'destination', ' position\nwhile leaving the other axes in their original order', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'result', '\n', 'Return type', '\n', 'mx.nd.array', '\n', '\n', 'Examples', '\n', None, '\n', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.modulo(lhs, rhs)[source]Â¶","['Returns element-wise modulo of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_mod(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise modulo of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.multiply(lhs, rhs)[source]Â¶","['Returns element-wise product of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_mul(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise multiplication of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.not_equal(lhs, rhs)[source]Â¶","['Returns the result of element-wise ', 'not equal to', ' (!=) comparison operation\nwith broadcasting.', '\n', 'For each element in input arrays, return 1(true) if corresponding elements are different,\notherwise return 0(false).', '\n', 'Equivalent to ', 'lhs', ' and ', 'mx.nd.broadcast_not_equal(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'Output array of boolean values.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.onehot_encode(indices, out)[source]Â¶","['One-hot encoding indices into matrix out.', '\n', '\n', 'Note', '\n', 'onehot_encode', '\n', '\n', '\n']"
"
mxnet.ndarray.power(base, exp)[source]Â¶","['Returns result of first array elements raised to powers from second array, element-wise\nwith broadcasting.', '\n', 'Equivalent to ', 'base', ' and ', 'mx.nd.broadcast_power(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The bases in x raised to the exponents in y.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.subtract(lhs, rhs)[source]Â¶","['Returns element-wise difference of the input arrays with broadcasting.', '\n', 'Equivalent to ', 'lhs', ', ', 'mx.nd.broadcast_sub(lhs,', ' and\n', 'mx.nd.broadcast_minus(lhs,', '.', '\n', '\n', 'Note', '\n', 'If the corresponding dimensions of two arrays have the same size or one of them has size 1,\nthen the arrays are broadcastable to a common shape.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The element-wise difference of the input arrays.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
"
mxnet.ndarray.true_divide(lhs, rhs)[source]Â¶","['This function is similar to ', 'divide()', '.', '\n', '\n']"
"
mxnet.ndarray.waitall()[source]Â¶","['Wait for all async operations to finish in MXNet.', '\n', 'This function is used for benchmarking only.', '\n', '\n', 'Note', '\n', 'If your mxnet code throws an exception, then waitall can cause performance impact.', '\n', '\n', '\n']"
"
mxnet.ndarray.histogram(a, bins=10, range=None)[source]Â¶","['Compute the histogram of the input data.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'A created array.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.split_v2(ary, indices_or_sections, axis=0, squeeze_axis=False)[source]Â¶","['Split an array into multiple sub-arrays.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'A created array.', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.to_dlpack_for_read(data)[source]Â¶","['\n', 'Returns a reference view of NDArray that represents as DLManagedTensor until', 'all previous write operations on the current array are finished.', '\n', '\n', '\n', 'Parameters', '\n', 'data', '\n', 'Returns', '\n', 'a reference view of NDArray that represents as DLManagedTensor.', '\n', 'Return type', '\n', 'PyCapsule (the pointer of DLManagedTensor)', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']"
