API,Description,Example1,Example2,,
"
 class torch.nn. LSTMCell ( input_size ,  hidden_size ,  bias ,  device ,  dtype ) [source] ¶","A long short-term memory (LSTM) cell. 
 i where  σ  is the sigmoid function, and  ∗  is the Hadamard product. 
 Parameters 
 
 
 
 Inputs: input, (h_0, c_0) 
 
 Outputs: (h_1, c_1) 
 
 
 Variables 
 
 
 
 Note 
 All the weights and biases are initialized from  
 On certain ROCm devices, when using float16 inputs this module will use  different precision  for backward. Examples: 
",">>> rnn=nn.LSTMCell(10,20)# (input_size, hidden_size)
>>> input=torch.randn(2,3,10)# (time_steps, batch, input_size)
>>> hx=torch.randn(3,20)# (batch, hidden_size)
>>> cx=torch.randn(3,20)
>>> output=[]
>>> foriinrange(input.size()[0]):
... hx,cx=rnn(input[i],(hx,cx))
... output.append(hx)
>>> output=torch.stack(output,dim=0)
",,,
"
 class torch.nn. GRUCell ( input_size ,  hidden_size ,  bias ,  device ,  dtype ) [source] ¶","A gated recurrent unit (GRU) cell 
 r where  σ  is the sigmoid function, and  ∗  is the Hadamard product. 
 Parameters 
 
 
 
 Inputs: input, hidden 
 
 Outputs: h’ 
 
 Shape: 
 
 
 Variables 
 
 
 
 Note 
 All the weights and biases are initialized from  
 On certain ROCm devices, when using float16 inputs this module will use  different precision  for backward. Examples: 
",">>> rnn=nn.GRUCell(10,20)
>>> input=torch.randn(6,3,10)
>>> hx=torch.randn(3,20)
>>> output=[]
>>> foriinrange(6):
... hx=rnn(input[i],hx)
... output.append(hx)
",,,
"
 class torch.nn. Transformer ( d_model=512 ,  nhead=8 ,  num_encoder_layers=6 ,  num_decoder_layers=6 ,  dim_feedforward=2048 ,  dropout=0.1 ,  activation=<function ,  custom_encoder=None ,  custom_decoder=None ,  layer_norm_eps=1e-05 ,  batch_first=False ,  norm_first=False ,  device=None ,  dtype=None ) [source] ¶","A transformer model. User is able to modify the attributes as needed. The architecture
is based on the paper “Attention Is All You Need”. Ashish Vaswani, Noam Shazeer,
Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez, Lukasz Kaiser, and
Illia Polosukhin. 2017. Attention is all you need. In Advances in Neural Information
Processing Systems, pages 6000-6010. 
 Parameters 
 
 
 
 Examples:: 
 Note: A full example to apply nn.Transformer module for the word language model is available in
 https://github.com/pytorch/examples/tree/master/word_language_model 
 
 
 Take in and process masked source/target sequences. 
 
 
 Generate a square mask for the sequence. The masked positions are filled with float(‘-inf’).
Unmasked positions are filled with float(0.0).",,,,
"
 class torch.nn. TransformerEncoder ( encoder_layer ,  num_layers ,  norm ,  enable_nested_tensor ,  mask_check ) [source] ¶","TransformerEncoder is a stack of N encoder layers. Users can build the
BERT( https://arxiv.org/abs/1810.04805 ) model with corresponding parameters. 
 Parameters 
 
 
 
 Examples:: 
 
 
 
 Pass the input through the encoder layers in turn.",,,,
"
 class torch.nn. TransformerDecoder ( decoder_layer ,  num_layers ,  norm ) [source] ¶","TransformerDecoder is a stack of N decoder layers 
 Parameters 
 
 
 
 Examples:: 
 
 
 
 Pass the inputs (and mask) through the decoder layer in turn.",,,,
"
 class torch.nn. TransformerEncoderLayer ( d_model ,  nhead ,  dim_feedforward=2048 ,  dropout=0.1 ,  activation=<function ,  layer_norm_eps=1e-05 ,  batch_first=False ,  norm_first=False ,  device=None ,  dtype=None ) [source] ¶","TransformerEncoderLayer is made up of self-attn and feedforward network.
This standard encoder layer is based on the paper “Attention Is All You Need”.
Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez,
Lukasz Kaiser, and Illia Polosukhin. 2017. Attention is all you need. In Advances in
Neural Information Processing Systems, pages 6000-6010. Users may modify or implement
in a different way during application. 
 Parameters 
 
 
 
 Examples:: 
 Alternatively, when  
 Fast path: forward() will use a special optimized implementation if all of the following
conditions are met: 
 
 
 
 Pass the input through the encoder layer.",,,,
"
 class torch.nn. TransformerDecoderLayer ( d_model ,  nhead ,  dim_feedforward=2048 ,  dropout=0.1 ,  activation=<function ,  layer_norm_eps=1e-05 ,  batch_first=False ,  norm_first=False ,  device=None ,  dtype=None ) [source] ¶","TransformerDecoderLayer is made up of self-attn, multi-head-attn and feedforward network.
This standard decoder layer is based on the paper “Attention Is All You Need”.
Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N Gomez,
Lukasz Kaiser, and Illia Polosukhin. 2017. Attention is all you need. In Advances in
Neural Information Processing Systems, pages 6000-6010. Users may modify or implement
in a different way during application. 
 Parameters 
 
 
 
 Examples:: 
 Alternatively, when  
 
 
 
 Pass the inputs (and mask) through the decoder layer.",,,,
"
 class torch.nn. Identity ( * ,  ** ) [source] ¶","A placeholder identity operator that is argument-insensitive. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.Identity(54,unused_argument1=0.1,unused_argument2=False)
>>> input=torch.randn(128,20)
>>> output=m(input)
>>> print(output.size())
torch.Size([128, 20])
",,,
"
 class torch.nn. Linear ( in_features ,  out_features ,  bias ,  device ,  dtype ) [source] ¶","Applies a linear transformation to the incoming data:  y This module supports  TensorFloat32 . On certain ROCm devices, when using float16 inputs this module will use  different precision  for backward. 
 Parameters 
 
 
 
 Shape: 
 
 
 Variables 
 
 
 Examples: 
",">>> m=nn.Linear(20,30)
>>> input=torch.randn(128,20)
>>> output=m(input)
>>> print(output.size())
torch.Size([128, 30])
",,,
"
 class torch.nn. Bilinear ( in1_features ,  in2_features ,  out_features ,  bias ,  device ,  dtype ) [source] ¶","Applies a bilinear transformation to the incoming data:
 y 
 Parameters 
 
 
 
 Shape: 
 
 
 Variables 
 
 
 Examples: 
",">>> m=nn.Bilinear(20,30,40)
>>> input1=torch.randn(128,20)
>>> input2=torch.randn(128,30)
>>> output=m(input1,input2)
>>> print(output.size())
torch.Size([128, 40])
",,,
"
 class torch.nn. LazyLinear ( out_features ,  bias ,  device ,  dtype ) [source] ¶","A  torch.nn.Linear  module where  in_features  is inferred. In this module, the  weight  and  bias  are of  torch.nn.UninitializedParameter 
class. They will be initialized after the first call to  forward  is done and the
module will become a regular  torch.nn.Linear  module. The  in_features  argument
of the  Linear  is inferred from the  input.shape[-1] . Check the  torch.nn.modules.lazy.LazyModuleMixin  for further documentation
on lazy modules and their limitations. 
 Parameters 
 
 
 Variables 
 
 
 
 
 
 alias of ",,,,
"
 class torch.nn. Dropout ( p ,  inplace ) [source] ¶","During training, randomly zeroes some of the elements of the input
tensor with probability  p  using samples from a Bernoulli
distribution. Each channel will be zeroed out independently on every forward
call. This has proven to be an effective technique for regularization and
preventing the co-adaptation of neurons as described in the paper
 Improving neural networks by preventing co-adaptation of feature
detectors  . Furthermore, the outputs are scaled by a factor of  1  during
training. This means that during evaluation the module simply computes an
identity function. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.Dropout(p=0.2)
>>> input=torch.randn(20,16)
>>> output=m(input)
",,,
"
 class torch.nn. Dropout1d ( p ,  inplace ) [source] ¶","Randomly zero out entire channels (a channel is a 1D feature map,
e.g., the  j -th channel of the  i -th sample in the
batched input is a 1D tensor  input ).
Each channel will be zeroed out independently on every forward call with
probability  p  using samples from a Bernoulli distribution. Usually the input comes from  nn.Conv1d  modules. As described in the paper
 Efficient Object Localization Using Convolutional Networks  ,
if adjacent pixels within feature maps are strongly correlated
(as is normally the case in early convolution layers) then i.i.d. dropout
will not regularize the activations and will otherwise just result
in an effective learning rate decrease. In this case,  nn.Dropout1d()  will help promote independence between
feature maps and should be used instead. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.Dropout1d(p=0.2)
>>> input=torch.randn(20,16,32)
>>> output=m(input)
",,,
"
 class torch.nn. Dropout2d ( p ,  inplace ) [source] ¶","Randomly zero out entire channels (a channel is a 2D feature map,
e.g., the  j -th channel of the  i -th sample in the
batched input is a 2D tensor  input ).
Each channel will be zeroed out independently on every forward call with
probability  p  using samples from a Bernoulli distribution. Usually the input comes from  nn.Conv2d  modules. As described in the paper
 Efficient Object Localization Using Convolutional Networks  ,
if adjacent pixels within feature maps are strongly correlated
(as is normally the case in early convolution layers) then i.i.d. dropout
will not regularize the activations and will otherwise just result
in an effective learning rate decrease. In this case,  nn.Dropout2d()  will help promote independence between
feature maps and should be used instead. 
 Parameters 
 
 
 
 Warning 
 Due to historical reasons, this class will perform 1D channel-wise dropout
for 3D inputs (as done by  
 
 Shape: 
 
 Examples: 
",">>> m=nn.Dropout2d(p=0.2)
>>> input=torch.randn(20,16,32,32)
>>> output=m(input)
",,,
"
 class torch.nn. Dropout3d ( p ,  inplace ) [source] ¶","Randomly zero out entire channels (a channel is a 3D feature map,
e.g., the  j -th channel of the  i -th sample in the
batched input is a 3D tensor  input ).
Each channel will be zeroed out independently on every forward call with
probability  p  using samples from a Bernoulli distribution. Usually the input comes from  nn.Conv3d  modules. As described in the paper
 Efficient Object Localization Using Convolutional Networks  ,
if adjacent pixels within feature maps are strongly correlated
(as is normally the case in early convolution layers) then i.i.d. dropout
will not regularize the activations and will otherwise just result
in an effective learning rate decrease. In this case,  nn.Dropout3d()  will help promote independence between
feature maps and should be used instead. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.Dropout3d(p=0.2)
>>> input=torch.randn(20,16,4,32,32)
>>> output=m(input)
",,,
"
 class torch.nn. AlphaDropout ( p ,  inplace ) [source] ¶","Applies Alpha Dropout over the input. Alpha Dropout is a type of Dropout that maintains the self-normalizing
property.
For an input with zero mean and unit standard deviation, the output of
Alpha Dropout maintains the original mean and standard deviation of the
input.
Alpha Dropout goes hand-in-hand with SELU activation function, which ensures
that the outputs have zero mean and unit standard deviation. During training, it randomly masks some of the elements of the input
tensor with probability  p  using samples from a bernoulli distribution.
The elements to masked are randomized on every forward call, and scaled
and shifted to maintain zero mean and unit standard deviation. During evaluation the module simply computes an identity function. More details can be found in the paper  Self-Normalizing Neural Networks  . 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.AlphaDropout(p=0.2)
>>> input=torch.randn(20,16)
>>> output=m(input)
",,,
"
 class torch.nn. FeatureAlphaDropout ( p ,  inplace ) [source] ¶","Randomly masks out entire channels (a channel is a feature map,
e.g. the  j -th channel of the  i -th sample in the batch input
is a tensor  input ) of the input tensor). Instead of
setting activations to zero, as in regular Dropout, the activations are set
to the negative saturation value of the SELU activation function. More details
can be found in the paper  Self-Normalizing Neural Networks  . Each element will be masked independently for each sample on every forward
call with probability  p  using samples from a Bernoulli distribution.
The elements to be masked are randomized on every forward call, and scaled
and shifted to maintain zero mean and unit variance. Usually the input comes from  nn.AlphaDropout  modules. As described in the paper
 Efficient Object Localization Using Convolutional Networks  ,
if adjacent pixels within feature maps are strongly correlated
(as is normally the case in early convolution layers) then i.i.d. dropout
will not regularize the activations and will otherwise just result
in an effective learning rate decrease. In this case,  nn.AlphaDropout()  will help promote independence between
feature maps and should be used instead. 
 Parameters 
 
 
 
 Shape: 
 
 Examples: 
",">>> m=nn.FeatureAlphaDropout(p=0.2)
>>> input=torch.randn(20,16,4,32,32)
>>> output=m(input)
",,,
"
 class torch.nn. Embedding ( num_embeddings ,  embedding_dim ,  padding_idx ,  max_norm ,  norm_type ,  scale_grad_by_freq ,  sparse ,  _weight ,  device ,  dtype ) [source] ¶","A simple lookup table that stores embeddings of a fixed dictionary and size. This module is often used to store word embeddings and retrieve them using indices.
The input to the module is a list of indices, and the output is the corresponding
word embeddings. 
 Parameters 
 
 
 Variables 
 weight 
 
 Shape: 
 
 
 Note 
 Keep in mind that only a limited number of optimizers support
sparse gradients: currently it’s  
 
 Note 
 When  
 
 Examples: 
 
 
 
 Creates Embedding instance from given 2-dimensional FloatTensor.",">>> # an Embedding module containing 10 tensors of size 3
>>> embedding=nn.Embedding(10,3)
>>> # a batch of 2 samples of 4 indices each
>>> input=torch.LongTensor([[1,2,4,5],[4,3,2,9]])
>>> embedding(input)
tensor([[[-0.0251, -1.6902,  0.7172],
         [-0.6431,  0.0748,  0.6969],
         [ 1.4970,  1.3448, -0.9685],
         [-0.3677, -2.7265, -0.1685]],        [[ 1.4970,  1.3448, -0.9685],
         [ 0.4362, -0.4004,  0.9400],
         [-0.6431,  0.0748,  0.6969],
         [ 0.9124, -2.3616,  1.1151]]])>>> # example with padding_idx
>>> embedding=nn.Embedding(10,3,padding_idx=0)
>>> input=torch.LongTensor([[0,2,0,5]])
>>> embedding(input)
tensor([[[ 0.0000,  0.0000,  0.0000],
         [ 0.1535, -2.0309,  0.9315],
         [ 0.0000,  0.0000,  0.0000],
         [-0.1655,  0.9897,  0.0635]]])>>> # example of changing `pad` vector
>>> padding_idx=0
>>> embedding=nn.Embedding(3,3,padding_idx=padding_idx)
>>> embedding.weight
Parameter containing:
tensor([[ 0.0000,  0.0000,  0.0000],
        [-0.7895, -0.7089, -0.0364],
        [ 0.6778,  0.5803,  0.2678]], requires_grad=True)
>>> withtorch.no_grad():
... embedding.weight[padding_idx]=torch.ones(3)
>>> embedding.weight
Parameter containing:
tensor([[ 1.0000,  1.0000,  1.0000],
        [-0.7895, -0.7089, -0.0364],
        [ 0.6778,  0.5803,  0.2678]], requires_grad=True)
",,,
